Fuel Type Code,Station Name,Street Address,City,State,Latitude,Longitude,Open Date
Ethanol Fuel,Citgo,13501 S Kedzie Ave,Robbins,IL,41.6478,-87.699003,2008-11-30
Ethanol Fuel,Circle K,4202 W Springfield Ave,Champaign,IL,40.113793,-88.3158,2019-06-15
Ethanol Fuel,Mobil,850 E 63rd St,Chicago,IL,41.780965,-87.603119,2010-05-30
Ethanol Fuel,Shell,17951 Halsted St,Homewood,IL,41.563316,-87.635825,2009-10-31
Ethanol Fuel,Roc One Stop - Russell Oil,1100 W Broadway,Johnston City,IL,37.816943,-88.942531,2008-01-31
Biodiesel,Fermi National Accelerator Laboratory - Fuel Service Center,Kirk Rd & Wilson St,Batavia,IL,41.84901,-88.2594,2010-10-15
ELEC,INTERPARK SOUTH LOOP 1,318 S Federal St,Chicago,IL,41.877419,-87.630013,2010-11-15
Ethanol Fuel,Thorntons #310,205 S US Highway 12,Volo,IL,42.324636,-88.164053,2010-11-30
ELEC,ComEd,3500 N California Ave,Chicago,IL,41.94629288,-87.69982,2010-12-31
ELEC,ComEd,7601 S Lawndale Ave,Chicago,IL,41.75497055,-87.71321,2010-12-31
ELEC,City Hall Annex - Town of Normal,100 E Phoenix Ave,Normal,IL,40.507796,-88.982897,2011-04-15
ELEC,College Avenue Parking Deck,101 W Mulberry St,Normal,IL,40.511172,-88.984985,2011-04-15
ELEC,State of Illinois - Governor's Mansion,401-499 E Edwards St,Springfield,IL,39.79628,-89.6504,2011-03-15
Ethanol Fuel,Road Ranger - Pilot,4910 Market St,Champaign,IL,40.177364,-88.240756,2011-01-15
Ethanol Fuel,Road Ranger,2406 Bell School Rd,Cherry Valley,IL,42.24171467183852,-88.97545322831115,2011-01-15
Ethanol Fuel,Road Ranger,6070 Gardner St,South Beloit,IL,42.491081,-88.999361,2011-01-15
Ethanol Fuel,Qik-n-EZ #59,4401 Wabash Ave,Springfield,IL,39.756957,-89.734044,2011-01-15
Ethanol Fuel,Southern FS,1501 E DeYoung St,Marion,IL,37.73862,-88.903319,2009-05-15
Ethanol Fuel,Road Ranger,3801 S 6th St,Springfield,IL,39.746514,-89.645331,2011-04-15
Ethanol Fuel,Thorntons #307,110 W Devon Ave,Wood Dale,IL,41.992697,-87.980521,2011-05-01
Ethanol Fuel,Shell - Palos Hills Mart,10300 S Harlem Ave,Palos Hills,IL,41.703996,-87.798389,2011-06-15
Ethanol Fuel,Hometown Express #2,12 SW 2nd St,Galva,IL,41.164688,-90.042778,2009-08-15
Ethanol Fuel,Jiffi Stop,841 W Morton Ave,Jacksonville,IL,39.722557,-90.240195,2010-12-15
Ethanol Fuel,Thorntons #309,28937 W Illinois Route 120,Lakemoor,IL,42.328289,-88.197644,2010-09-15
Ethanol Fuel,Manlius Oil Co,8792 County Rd 2175 N,Sheffield,IL,41.463375,-89.688889,2006-06-15
ELEC,O'Hare Airport - Short Term Parking,10000 W O'Hare Ave,Chicago,IL,41.97850582311076,-87.90328000006105,2011-02-11
ELEC,Rivers Casino,3000 S River Rd,Des Plaines,IL,41.99774,-87.864217,2011-03-01
Ethanol Fuel,Speedway #7765,7502 Cass St,Darien,IL,41.751649,-87.9741,2011-08-01
Ethanol Fuel,Speedway #5381,314 S State St,Lockport,IL,41.594741,-88.054419,2011-08-12
Biodiesel,Scott Air Force Base,4429 Samuel Adams Cir,Scott AFB,IL,38.529476,-89.868113,2006-08-15
Biodiesel,Scott Air National Guard,2101 Golf Course Rd,Scott AFB,IL,38.548554,-89.850902,2011-01-15
ELEC,ADVANCED DATA STATION 1,1075 Shore Rd,Naperville,IL,41.787044,-88.226463,2011-10-15
Compressed Natural Gas,Forest Preserve District of DuPage County,881 W St. Charles Rd,Lombard,IL,41.890853,-88.039553,2009-02-15
ELEC,Town of Normal - Fire Department Headquarters,606 S Main St,Normal,IL,40.505132,-88.994211,2012-01-01
ELEC,Town of Normal - Public Works Department,1301 Warriner,Normal,IL,40.496969,-89.004735,2012-01-01
ELEC,Beaufort Street Parking Deck,211 W Beaufort St,Normal,IL,40.507954,-88.986429,2012-01-01
ELEC,Heartland Community College - Workforce Development Center,1500 W Raab Rd,Normal,IL,40.535456,-89.013791,2011-12-29
Ethanol Fuel,Speedway #7450,898 W Ogden Ave,Downers Grove,IL,41.809699,-88.007693,2011-12-15
Ethanol Fuel,Speedway #7613,12007 W 159th St,Homer Glen,IL,41.599763,-87.910865,2011-12-22
ELEC,Heartland Community College - Astroth Community Education Center,1500 W Raab Rd,Normal,IL,40.534785,-89.011493,2011-12-29
ELEC,Great Escape Restaurant,9540 W Irving Park Rd,Schiller Park,IL,41.955233,-87.865268,2012-02-01
Compressed Natural Gas,Waste Management - Clean N' Green,5050 W Pershing Rd,Cicero,IL,41.822729,-87.749999,2012-04-15
Liquified Natural Gas,Clean Energy - La Salle Flying J #644,343 Civic Rd,LaSalle,IL,41.369105,-89.098034,
ELEC,City of Rock Island Parking Ramp,16th St & 3rd Ave,Rock Island,IL,41.509406,-90.577025,2012-02-03
Ethanol Fuel,Thorntons #16,190 E Lake St,Bloomingdale,IL,41.956904,-88.071053,2011-11-29
Ethanol Fuel,Meijer Gas #146,2201 N Prospect Ave,Champaign,IL,40.14322,-88.258888,2009-12-15
ELEC,Walsh Construction,307 S Sangamon,Chicago,IL,41.87757111,-87.65041351,2012-03-15
ELEC,Mike Miller Mitsubishi,2007 W Pioneer Pkwy,Peoria,IL,40.784164,-89.623657,2012-02-15
Compressed Natural Gas,DuPage County Department of Transportation,200 N County Farm Rd,Wheaton,IL,41.865556,-88.143233,2011-11-30
Liquified Petroleum Gas,Forest Preserve District of DuPage County,881 W St. Charles Rd,Lombard,IL,41.890853,-88.039553,2012-05-07
ELEC,ComEd,5190 Church St,Skokie,IL,42.048674,-87.756383,2010-12-31
ELEC,ComEd,4401 W 135th St,Crestwood,IL,41.647334,-87.729414,2010-12-31
ELEC,ComEd,1505 1st Ave,Maywood,IL,41.874415,-87.8337901,2010-12-31
ELEC,Arlington Nissan,1100 W Dundee Rd,Arlington Heights,IL,42.139843,-87.996655,2012-01-31
ELEC,Arlington Nissan,1100 W Dundee Rd,Arlington Heights,IL,42.139843,-87.996655,2012-01-31
ELEC,O'Brien Nissan,2029 Ireland Grove Rd,Bloomington,IL,40.459154,-88.966191,2012-01-31
ELEC,O'Brien Nissan,2029 Ireland Grove Rd,Bloomington,IL,40.459154,-88.966191,2012-01-31
ELEC,Hove Buick-Nissan,1405 N Kinzie,Bradley,IL,41.154031,-87.851483,2012-01-31
ELEC,Monken Nissan - Centralia,1739 W McCord St,Centralia,IL,38.533452,-89.172979,2012-01-31
ELEC,Berman Nissan - Chicago,4444 W Irving Park Rd,Chicago,IL,41.953751,-87.739697,2012-01-31
ELEC,Berman Nissan - Chicago,4444 W Irving Park Rd,Chicago,IL,41.953751,-87.739697,2012-01-31
ELEC,Continental Nissan,5750 S La Grange Rd,Countryside,IL,41.78586,-87.8685,2012-01-31
ELEC,Continental Nissan,5750 S La Grange Rd,Countryside,IL,41.78586,-87.8685,2012-01-31
ELEC,Jim M'Lady Nissan,5656 Northwest Hwy,Crystal Lake,IL,42.226647,-88.306745,2012-01-31
ELEC,Jim M'Lady Nissan,5656 Northwest Hwy,Crystal Lake,IL,42.226647,-88.306745,2012-01-31
ELEC,Crown Nissan - Decatur,165 W Pershing Rd,Decatur,IL,39.876094,-88.959111,2012-01-31
ELEC,Crown Nissan - Decatur,165 W Pershing Rd,Decatur,IL,39.876094,-88.959111,2012-01-31
ELEC,Ken Nelson Auto Plaza,928 N Galena Ave,Dixon,IL,41.856583,-89.489398,2012-01-31
ELEC,Bill Kay's Nissan - Downers Grove,1601 Ogden Ave,Downers Grove,IL,41.807887,-88.024848,2012-01-31
ELEC,Bill Kay's Nissan - Downers Grove,1601 Ogden Ave,Downers Grove,IL,41.807887,-88.024848,2012-01-31
ELEC,McGrath Nissan,945 E Chicago St,Elgin,IL,42.033769,-88.255193,2012-01-31
ELEC,McGrath Nissan,945 E Chicago St,Elgin,IL,42.033769,-88.255193,2012-01-31
ELEC,The Autobarn Nissan,1012 Chicago Ave,Evanston,IL,42.03616,-87.680149,2012-01-31
ELEC,The Autobarn Nissan,1012 Chicago Ave,Evanston,IL,42.03616,-87.680149,2012-01-31
ELEC,Galesburg Nissan,2080 N Henderson St,Galesburg,IL,40.973058,-90.383695,2012-01-31
ELEC,KANE COUNTY KANE COURTHOUSE,100 S 3rd St,Geneva,IL,41.886523,-88.309239,2012-04-01
ELEC,Glendale Nissan,484 North Ave,Glendale Heights,IL,41.904021,-88.068043,2012-01-31
ELEC,Glendale Nissan,484 North Ave,Glendale Heights,IL,41.904021,-88.068043,2012-01-31
ELEC,Gerald Nissan - North Aurora,213 Hansen Blvd,North Aurora,IL,41.798401,-88.37177,2012-01-31
ELEC,Gerald Nissan - North Aurora,213 Hansen Blvd,North Aurora,IL,41.798401,-88.37177,2012-01-31
ELEC,Auffenberg Nissan,1690 New Car Dr,O'Fallon,IL,38.596106,-89.956489,2012-01-31
ELEC,Auffenberg Nissan,1690 New Car Dr,O'Fallon,IL,38.596106,-89.956489,2012-01-31
ELEC,Nissan of St Charles,2535 E Main St,St. Charles,IL,41.920486,-88.284011,2012-01-31
ELEC,Nissan of St Charles,2535 E Main St,St. Charles,IL,41.920486,-88.284011,2012-01-31
Compressed Natural Gas,Groot Industries - Round Lake Park,40 Porter Dr,Round Lake Park,IL,42.345841,-88.081547,2012-06-01
Compressed Natural Gas,Groot Industries - Elk Grove Village,2500 Landmeier Rd,Elk Grove Village,IL,42.013872,-87.9444,2012-06-01
